Date,Category,Department,Project,Actual_Amount,Budget_Amount,Region,Employee_Count,Cost_Type,Center,Revenue
2026-01-05,薪資費用,研發部,基礎建設更新,1200000,1200000,北區,45,固定,成本中台,0
2026-01-08,行銷推廣,業務部,春季促銷檔期,450000,400000,全區,12,變動,利潤前台,2800000
2026-01-10,租金支出,行政部,總部辦公室,200000,200000,北區,80,固定,管理後台,0
2026-01-15,IT軟體授權,研發部,資安升級計畫,150000,120000,北區,45,固定,成本中台,0
2026-01-20,差旅費,業務部,Q1客戶拜訪,80000,100000,全區,12,變動,利潤前台,950000
2026-01-22,水電費,行政部,總部營運,35000,38000,北區,80,固定,管理後台,0
2026-01-25,教育訓練,人資部,新人培訓Q1,60000,80000,北區,10,固定,管理後台,0
2026-01-28,佣金支出,業務部,Q1業績獎金,180000,150000,全區,12,變動,利潤前台,3200000
2026-02-01,薪資費用,業務部,一般薪資,850000,800000,全區,32,固定,利潤前台,0
2026-02-05,行銷推廣,業務部,品牌大使招募,320000,300000,全區,12,變動,利潤前台,1800000
2026-02-10,差旅費,業務部,新市場開發,120000,150000,南區,12,變動,利潤前台,1200000
2026-02-14,租金支出,行政部,總部辦公室,200000,200000,北區,80,固定,管理後台,0
2026-02-18,IT設備採購,行政部,伺服器汰換,250000,200000,北區,80,固定,成本中台,0
2026-02-20,水電費,行政部,總部營運,32000,38000,北區,80,固定,管理後台,0
2026-02-22,教育訓練,人資部,主管領導力訓練,90000,80000,北區,10,固定,管理後台,0
2026-02-25,物流費,業務部,Q1產品配送,95000,100000,全區,12,變動,利潤前台,1500000
2026-03-01,薪資費用,研發部,新產品研發,1300000,1250000,北區,45,固定,成本中台,0
2026-03-05,租金支出,行政部,總部辦公室,200000,200000,北區,80,固定,管理後台,0
2026-03-10,行銷推廣,業務部,春展參展費,380000,350000,全區,12,變動,利潤前台,2500000
2026-03-15,交際費,業務部,關鍵客戶維繫,80000,60000,全區,12,變動,利潤前台,600000
2026-03-18,水電費,行政部,總部營運,30000,38000,北區,80,固定,管理後台,0
2026-03-20,薪資費用,財務部,季度外包,350000,300000,北區,18,固定,管理後台,0
2026-03-25,IT軟體授權,研發部,雲端平台訂閱,120000,120000,北區,45,固定,成本中台,0
2026-03-28,佣金支出,業務部,Q1結算獎金,220000,180000,全區,12,變動,利潤前台,3800000
2026-04-01,行銷推廣,業務部,夏季展覽籌備,600000,500000,全區,12,變動,利潤前台,3500000
2026-04-05,IT設備採購,行政部,筆電全面更新,400000,450000,北區,80,固定,成本中台,0
2026-04-10,薪資費用,研發部,基礎建設更新,1250000,1200000,北區,45,固定,成本中台,0
2026-04-15,差旅費,業務部,海外商展出席,180000,150000,全區,12,變動,利潤前台,1800000
2026-04-18,水電費,行政部,總部營運,42000,38000,北區,80,固定,管理後台,0
2026-04-20,教育訓練,研發部,AI技術深化培訓,120000,100000,北區,45,固定,成本中台,0
2026-04-25,租金支出,行政部,總部辦公室,200000,200000,北區,80,固定,管理後台,0
2026-04-28,物流費,業務部,Q2產品配送,110000,100000,全區,12,變動,利潤前台,1700000
2026-05-01,薪資費用,業務部,一般薪資,880000,800000,全區,32,固定,利潤前台,0
2026-05-05,行銷推廣,業務部,線上廣告投放,550000,600000,全區,12,變動,利潤前台,4200000
2026-05-10,差旅費,業務部,海外分公司視察,250000,200000,全區,12,變動,利潤前台,1500000
2026-05-15,IT軟體授權,研發部,DevOps工具年約,95000,100000,北區,45,固定,成本中台,0
2026-05-18,水電費,行政部,總部營運,45000,38000,北區,80,固定,管理後台,0
2026-05-20,租金支出,行政部,總部辦公室,200000,200000,北區,80,固定,管理後台,0
2026-05-25,交際費,業務部,潛在客戶接待,65000,60000,全區,12,變動,利潤前台,500000
2026-05-28,佣金支出,業務部,Q2業績獎金,250000,200000,全區,12,變動,利潤前台,4500000
2026-06-01,薪資費用,財務部,年度結算外包,380000,300000,北區,18,固定,管理後台,0
2026-06-05,教育訓練,研發部,AI技能實戰培訓,180000,150000,北區,45,固定,成本中台,0
2026-06-10,租金支出,行政部,總部辦公室,200000,200000,北區,80,固定,管理後台,0
2026-06-15,行銷推廣,業務部,年中促銷廣告,520000,500000,全區,12,變動,利潤前台,3800000
2026-06-18,水電費,行政部,總部營運,48000,38000,北區,80,固定,管理後台,0
2026-06-20,差旅費,業務部,東南亞市場考察,290000,250000,南區,12,變動,利潤前台,2000000
2026-06-25,IT設備採購,研發部,GPU伺服器擴充,800000,700000,北區,45,固定,成本中台,0
2026-06-28,物流費,業務部,Q2產品配送,125000,110000,全區,12,變動,利潤前台,1900000
2026-07-01,薪資費用,研發部,新產品研發,1350000,1250000,北區,45,固定,成本中台,0
2026-07-05,行銷推廣,業務部,下半年品牌活動,450000,400000,全區,12,變動,利潤前台,2800000
2026-07-10,租金支出,行政部,總部辦公室,200000,200000,北區,80,固定,管理後台,0
2026-07-15,差旅費,業務部,Q3客戶拜訪,120000,120000,全區,12,變動,利潤前台,1100000
2026-07-18,水電費,行政部,總部營運,52000,38000,北區,80,固定,管理後台,0
2026-07-20,IT軟體授權,研發部,安全稽核工具,140000,120000,北區,45,固定,成本中台,0
2026-07-25,教育訓練,人資部,跨部門協作工作坊,75000,80000,北區,10,固定,管理後台,0
2026-07-28,佣金支出,業務部,Q3業績獎金,280000,220000,全區,12,變動,利潤前台,5200000
2026-08-01,薪資費用,業務部,一般薪資,900000,850000,全區,32,固定,利潤前台,0
2026-08-05,行銷推廣,業務部,社群媒體操作,280000,300000,全區,12,變動,利潤前台,2200000
2026-08-10,租金支出,行政部,總部辦公室,200000,200000,北區,80,固定,管理後台,0
2026-08-15,IT設備採購,行政部,網通設備更換,180000,200000,北區,80,固定,成本中台,0
2026-08-18,水電費,行政部,總部營運,55000,38000,北區,80,固定,管理後台,0
2026-08-20,差旅費,業務部,大陸市場評估,350000,300000,全區,12,變動,利潤前台,2500000
2026-08-25,交際費,業務部,年度夥伴晚宴,120000,100000,全區,12,變動,利潤前台,800000
2026-08-28,物流費,業務部,Q3產品配送,135000,120000,全區,12,變動,利潤前台,2100000
2026-09-01,薪資費用,研發部,Q3衝刺項目,1380000,1300000,北區,45,固定,成本中台,0
2026-09-05,行銷推廣,業務部,秋季上市活動,680000,600000,全區,12,變動,利潤前台,5000000
2026-09-10,租金支出,行政部,總部辦公室,200000,200000,北區,80,固定,管理後台,0
2026-09-15,教育訓練,人資部,年度績效管理培訓,100000,80000,北區,10,固定,管理後台,0
2026-09-18,水電費,行政部,總部營運,50000,38000,北區,80,固定,管理後台,0
2026-09-20,IT軟體授權,研發部,開發平台續約,160000,150000,北區,45,固定,成本中台,0
2026-09-25,差旅費,業務部,亞太峰會參加,420000,350000,全區,12,變動,利潤前台,3500000
2026-09-28,佣金支出,業務部,Q3結算獎金,320000,250000,全區,12,變動,利潤前台,5800000
2026-10-01,薪資費用,財務部,年底稽核外包,420000,350000,北區,18,固定,管理後台,0
2026-10-05,行銷推廣,業務部,雙十節大促,750000,700000,全區,12,變動,利潤前台,6200000
2026-10-10,租金支出,行政部,總部辦公室,200000,200000,北區,80,固定,管理後台,0
2026-10-15,IT設備採購,研發部,年度設備更新,550000,500000,北區,45,固定,成本中台,0
2026-10-18,水電費,行政部,總部營運,46000,38000,北區,80,固定,管理後台,0
2026-10-20,差旅費,業務部,Q4客戶拜訪,150000,150000,全區,12,變動,利潤前台,1300000
2026-10-25,物流費,業務部,Q4產品配送,155000,130000,全區,12,變動,利潤前台,2400000
2026-11-01,薪資費用,業務部,一般薪資,920000,880000,全區,32,固定,利潤前台,0
2026-11-05,行銷推廣,業務部,年終促銷活動,850000,800000,全區,12,變動,利潤前台,7000000
2026-11-10,租金支出,行政部,總部辦公室,200000,200000,北區,80,固定,管理後台,0
2026-11-15,教育訓練,人資部,年度訓練總回顧,80000,80000,北區,10,固定,管理後台,0
2026-11-18,水電費,行政部,總部營運,40000,38000,北區,80,固定,管理後台,0
2026-11-20,IT軟體授權,研發部,明年授權預付,200000,180000,北區,45,固定,成本中台,0
2026-11-25,交際費,業務部,VIP客戶年終餐會,95000,80000,全區,12,變動,利潤前台,700000
2026-11-28,佣金支出,業務部,Q4業績獎金,350000,280000,全區,12,變動,利潤前台,6500000
2026-12-01,薪資費用,研發部,年終獎金與薪資,1500000,1400000,北區,45,固定,成本中台,0
2026-12-05,行銷推廣,業務部,跨年品牌大作戰,900000,800000,全區,12,變動,利潤前台,7500000
2026-12-10,租金支出,行政部,總部辦公室,200000,200000,北區,80,固定,管理後台,0
2026-12-15,差旅費,業務部,年底拜票客戶,180000,150000,全區,12,變動,利潤前台,1600000
2026-12-18,水電費,行政部,總部營運,38000,38000,北區,80,固定,管理後台,0
2026-12-20,IT設備採購,行政部,年度資產汰換,320000,300000,北區,80,固定,成本中台,0
2026-12-25,交際費,業務部,年終尾牙活動,250000,200000,全區,32,變動,利潤前台,0
2026-12-28,物流費,業務部,Q4產品配送,165000,140000,全區,12,變動,利潤前台,2600000
2026-12-30,佣金支出,業務部,年終結算獎金,400000,300000,全區,12,變動,利潤前台,7200000
2026-01-30,薪資費用,人資部,一般薪資,280000,280000,北區,10,固定,管理後台,0
2026-02-28,薪資費用,行政部,一般薪資,450000,450000,北區,80,固定,管理後台,0
2026-04-30,薪資費用,人資部,一般薪資,285000,280000,北區,10,固定,管理後台,0
2026-05-30,薪資費用,行政部,一般薪資,455000,450000,北區,80,固定,管理後台,0
2026-07-30,薪資費用,人資部,一般薪資,290000,280000,北區,10,固定,管理後台,0
2026-08-30,薪資費用,行政部,一般薪資,460000,450000,北區,80,固定,管理後台,0
